timebank,sponsor,phone,url_2,facebook,twitter,mission_word_count,mission_sentiment,notes_word_count,notes_sentiment,avg_daily_exchanges,avg_daily_hours,hours_per_exchange,avg_offers,avg_requests,offer_request_ratio,members_starting,members_daily_new,facebook_likes,facebook_followers,twitter_tweets,twitter_following,twitter_followers,categories_total,categories_parent,categories_with_offers,categories_with_requests,talent_per_cat_per_member
addington,1.0,1.0,0.0,1.0,0.0,320.0,0.9986,144.0,0.8943,0.35714285714285715,2.142857142857143,6.0,36.53333333333333,30.6,1.193899782135076,179.0,0.0,169.0,172.0,0.0,0.0,0.0,89.0,11.0,0.3258426966292135,0.14606741573033707,0.3918401896055527
aha,0.0,1.0,0.0,0.0,0.0,20.0,0.7717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alticultura,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,0.0,0.0,0.3181818181818182
andersoncommunity,1.0,1.0,0.0,0.0,0.0,20.0,0.6369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ate,1.0,1.0,1.0,1.0,0.0,11.0,0.4215,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,0.2777777777777778,0.0,0.1388888888888889
avl,0.0,1.0,0.0,0.0,0.0,8.0,0.6908,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
atx,0.0,0.0,0.0,1.0,0.0,53.0,0.7579,0.0,0.0,0.0,0.0,0.0,90.0,80.53333333333333,1.1175496688741722,58.0,-0.07142857142857142,561.0,553.0,0.0,0.0,0.0,80.0,11.0,0.3625,0.1125,0.6124346917450366
labodunautilus,0.0,1.0,1.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,349.0,374.0,0.0,0.0,0.0,23.0,11.0,0.0,0.0,0.09917355371900825
blackhills,0.0,1.0,0.0,0.0,0.0,35.0,0.765,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,11.0,0.038461538461538464,0.0,0.44226044226044225
ujimaboston,0.0,1.0,0.0,1.0,0.0,6.0,0.6597,0.0,0.0,0.7142857142857143,2.4285714285714284,3.3999999999999995,61.86666666666667,50.13333333333333,1.2340425531914894,176.0,0.35714285714285715,244.0,244.0,0.0,0.0,0.0,67.0,8.0,0.417910447761194,0.04477611940298507,0.2547348484848485
brattleboro,1.0,1.0,1.0,1.0,0.0,1212.0,0.9998,0.0,0.0,3.357142857142857,10.928571428571429,3.25531914893617,159.6,190.73333333333332,0.8367703600139812,170.0,0.0,824.0,801.0,0.0,0.0,0.0,104.0,12.0,0.34615384615384615,0.25,0.632516339869281
bridge2rocks,0.0,1.0,0.0,1.0,0.0,80.0,0.9701,0.0,0.0,0.9285714285714286,2.642857142857143,2.846153846153846,25.933333333333334,32.666666666666664,0.7938775510204082,174.0,0.0,159.0,159.0,0.0,0.0,0.0,83.0,11.0,0.2289156626506024,0.2289156626506024,0.3376175548589342
capeann,0.0,1.0,1.0,1.0,0.0,115.0,0.9552,0.0,0.0,1.4285714285714286,2.9285714285714284,2.05,105.73333333333333,119.0,0.888515406162465,124.0,0.07142857142857142,318.0,306.0,0.0,0.0,0.0,91.0,12.0,0.3076923076923077,0.2967032967032967,0.5343189964157706
