timebank,sponsor,phone,url_2,facebook,twitter,mission_word_count,mission_sentiment,notes_word_count,notes_sentiment,avg_daily_exchanges,avg_daily_hours,hours_per_exchange,avg_offers,avg_requests,offer_request_ratio,members_starting,members_daily_new,facebook_likes,facebook_followers,twitter_tweets,twitter_following,twitter_followers,categories_total,categories_parent,categories_with_offers,categories_with_requests,talent_per_cat_per_member
addington,1.0,1.0,0.0,1.0,0.0,320.0,0.9986,144.0,0.8943,0.23684210526315788,1.763157894736842,7.444444444444445,37.3421052631579,32.94736842105263,1.1333865814696487,179.0,0.02631578947368421,169.0,172.0,0.0,0.0,0.0,89.0,11.0,0.3258426966292135,0.16853932584269662,0.3924157778906382
aha,0.0,1.0,0.0,0.0,0.0,20.0,0.7717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alticultura,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,0.0,0.0,0.3181818181818182
andersoncommunity,1.0,1.0,0.0,0.0,0.0,20.0,0.6369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ate,1.0,1.0,1.0,1.0,0.0,11.0,0.4215,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,0.2777777777777778,0.0,0.1388888888888889
avl,0.0,1.0,0.0,0.0,0.0,8.0,0.6908,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
atx,0.0,0.0,0.0,1.0,0.0,53.0,0.7579,0.0,0.0,0.0,0.0,0.0,90.0,80.8157894736842,1.113643764246174,58.0,-0.02631578947368421,561.0,553.0,0.0,0.0,0.0,80.0,11.0,0.3625,0.1125,0.6088336950405917
labodunautilus,0.0,1.0,1.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,349.0,374.0,0.0,0.0,0.0,23.0,11.0,0.0,0.0,0.09917355371900825
blackhills,0.0,1.0,0.0,0.0,0.0,35.0,0.765,0.0,0.0,0.05263157894736842,0.42105263157894735,8.0,1.605263157894737,2.6315789473684212,0.61,37.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,79.0,11.0,0.0379746835443038,0.10126582278481013,0.4762804762804763
ujimaboston,0.0,1.0,0.0,1.0,0.0,6.0,0.6597,0.0,0.0,1.131578947368421,135.60526315789474,119.83720930232559,61.94736842105263,51.60526315789474,1.2004079551249363,176.0,0.631578947368421,244.0,244.0,0.0,0.0,0.0,67.0,8.0,0.417910447761194,0.04477611940298507,0.2620920745920746
brattleboro,1.0,1.0,1.0,1.0,0.0,1212.0,0.9998,0.0,0.0,3.026315789473684,9.526315789473685,3.147826086956522,157.42105263157896,187.1315789473684,0.8412318942483478,170.0,0.0,824.0,801.0,0.0,0.0,0.0,104.0,12.0,0.34615384615384615,0.25,0.6335218702865762
bridge2rocks,0.0,1.0,0.0,1.0,0.0,80.0,0.9701,0.0,0.0,0.6578947368421053,1.763157894736842,2.6799999999999997,26.105263157894736,31.394736842105264,0.8315171835708298,174.0,0.0,159.0,159.0,0.0,0.0,0.0,83.0,11.0,0.2289156626506024,0.2289156626506024,0.33759555628884125
capeann,0.0,1.0,1.0,1.0,0.0,115.0,0.9552,0.0,0.0,1.131578947368421,2.5526315789473686,2.255813953488372,105.23684210526316,118.10526315789474,0.8910427807486632,124.0,0.0,318.0,306.0,0.0,0.0,0.0,91.0,12.0,0.3076923076923077,0.2967032967032967,0.5347049903501516
care,1.0,1.0,0.0,0.0,0.0,41.0,0.9766,0.0,0.0,0.18421052631578946,0.23684210526315788,1.2857142857142858,10.105263157894736,3.1052631578947367,3.254237288135593,50.0,-0.02631578947368421,0.0,0.0,0.0,0.0,0.0,58.0,11.0,0.22413793103448276,0.017241379310344827,0.2423776223776224
engaging,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,20.0,11.0,0.0,0.0,0.4090909090909091
cris,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.3684210526315789,1.2105263157894737,3.285714285714286,32.28947368421053,32.26315789473684,1.000815660685155,108.0,0.07894736842105263,152.0,153.0,0.0,0.0,0.0,84.0,11.0,0.21428571428571427,0.14285714285714285,0.4694811361478028
centraliowa,0.0,1.0,0.0,0.0,0.0,24.0,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,11.0,0.0,0.0,0.75
lincolnskillshare,1.0,1.0,0.0,0.0,0.0,9.0,0.6249,0.0,0.0,0.02631578947368421,0.02631578947368421,1.0,14.0,14.052631578947368,0.9962546816479401,71.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,11.0,0.18072289156626506,0.10843373493975904,0.5505761843790014
