category,id,parent
"Arts, Crafts & Music",8,is_parent
Classes,61,8
Crafts,62,8
Entertainment,63,8
Lessons,64,8
Miscellaneous,67,8
Photo & Video,65,8
Theater,66,8
Business Services,10,is_parent
Clerical,75,10
Computer Support,76,10
Financial,77,10
Aide a la Maison,2,is_parent
Arts,8,is_parent
Art,112,8
Career Assistance,228,10
Graphic Design,347,10
Legal,78,10
Marketing,79,10
Miscellaneous,81,10
Research,80,10
Writing and editing,213,10
Community Activities,4,is_parent
Clean-up / Recycling,33,4
Co-op Hours,210,4
Community Service,34,4
Fund-raising,35,4
Group Projects,247,4
Home Energy Challenge,199,4
Miscellaneous,39,4
Senior Center,214,4
Special Projects,37,4
Work For Social Change,38,4
Companionship,3,is_parent
Dining Out,27,3
Home Visits,29,3
Miscellaneous,32,3
Telephone Calls,31,3
Education,7,is_parent
Advocacy,54,7
Classes / Workshops,55,7
Computers / Technology,56,7
Languages / Translation,57,7
Miscellaneous,60,7
Tutoring / Mentoring,59,7
Help At Home,2,is_parent
Child Care,19,2
Cooking ,20,2
Hair & Beauty,21,2
Housekeeping / Chores,22,2
Miscellaneous,25,2
Pet Care,23,2
Respite Care,24,2
Sewing,212,2
Help Our Time Bank,36,is_parent
Board of Directors work,350,36
BTT Garden,349,36
Buddy Help,232,36
Committee and coordinator work,219,36
Event Help & Planning,352,36
Gift bags,217,36
Grant writing,348,36
Marketing / Publishing / Graphic Design,351,36
Miscellaneous,218,36
Office staff,216,36
Orientations,229,36
Potluck and event food,215,36
Tabling and Recruiting,346,36
Home,9,is_parent
Bike repair,220,9
Car Care,68,9
Carpentry / Construction,69,9
Computer & Tech Help,209,9
Electrical,70,9
"Garden, Yard, and Farm Work",71,9
Miscellaneous,74,9
Painting,72,9
Plumbing,73,9
Snow Removal,211,9
Wood Stacking & Manual Labor ,206,9
Misc. (Not Above),11,is_parent
All Other Services,82,11
For Sale,83,11
Free Stuff,85,11
Wanted,84,11
Recreation,6,is_parent
Books & Videos,47,6
Dancing,48,6
Events,49,6
Miscellaneous,53,6
Sports & Games,51,6
Travel,52,6
Transportation,1,is_parent
Errands / Shopping,12,1
Local Rides,13,1
Long Distance Rides,14,1
Medical Rides,15,1
Miscellaneous,18,1
"Moving, Hauling",208,1
Train / Bus / Airport Rides,16,1
Wellness,5,is_parent
Complementary Therapies,40,5
Counseling,41,5
Diet & Nutrition,42,5
Fitness & Exercise,43,5
Medical Services,44,5
Miscellaneous,46,5
Yoga / Meditation,45,5
Music,102,8
Career Development/Job Searches,328,10
Computer/IT Support,76,10
Writing/Editing/Proofreading,326,10
Group Projects,228,4
Help Our TimeBank!,36,4
Staffing Outreach Table for CCE at Community Events,321,4
Companionship/Socializing,3,is_parent
CCE Hospitality Committee,324,3
Clubs,26,3
Companionship,225,3
Medical Errands,30,3
Social Correspondence:  Email/IM/Snail mail Pen Pal,28,3
Socializing/Social Visiting,226,3
TB Meet Up,322,3
"Audio - recording, editing, podcasts, or other",128,8
Classes - usually group,124,8
Group Projects,86,4
Volunteering,96,4
Business Networking,88,10
Email / IM,28,3
Personal Finances,58,7
Cooking & Sewing,20,2
Garden & Yard Work,71,9
Miscellaneous,87,11
Games,50,6
Sports,51,6
Local,13,1
Long Distance,14,1
Medical,15,1
Train / Bus / Airport,16,1
Worship,17,1
Qigong,89,5
Photo / Video,65,8
Fundraising,35,4
Clubs / Social Groups,26,3
Errands,30,3
Phone Calls,31,3
Post / Email,28,3
Writing / Editing,87,7
Cooking / Sewing,20,2
Garden / Yard Work,71,9
Free Stuff / Donations,85,11
Books / Videos,47,6
Book keeping,175,10
IT Support,76,10
Graphic Arts,166,8
Accommodation and Hospitality,89,is_parent
Counseling,88,is_parent
Couples counseling,90,88
Individual counseling,89,88
Account Management,114,is_parent
Miscellaneous,172,11
"Arts, Culture and Ideas",117,is_parent
Event/Group Social Activity,121,117
Painting and Drawing,118,117
Theatre,66,8
Administration,125,10
Employment Issues,135,10
Repair Café Help,89,4
Help at Home,2,is_parent
Assembly / Installation,87,2
Cooking,20,2
Sewing,88,2
Repairs and Renovations,9,is_parent
Costuming,240,8
Business Consultation / Coaching,81,10
Group Projects,235,4
