description,listing_cat,listing_id,timebank,type
I offer car wash.,"{33, 34, 35, 4}",2421,addington,offer
Listening Ear/Chat,"{32, 3, 5, 41, 31}",2420,addington,offer
Tutoring,"{59, 7}",2418,addington,offer
On Line Dating,"{56, 5, 46, 7}",2415,addington,offer
Gib board,"{9, 69, 4, 37}",2409,addington,offer
Window cleaning,"{2, 22}",2411,addington,offer
Pet feeding,"{9, 2, 74, 23}",2392,addington,offer
Proof reading and Editing,"{10, 75}",2388,addington,offer
"Advice or any IT development - Website, Iot, desktop app, mobile app ...","{70, 7, 9, 10, 76, 56}",2380,addington,offer
"Fix electronics - don't throw away your electronics devices, why not give them a second life","{70, 7, 9, 10, 76, 56}",2379,addington,offer
Beauty treatments,"{2, 21, 5, 46}",2361,addington,offer
Crochet toys,"{67, 8, 11, 172, 62}",2373,addington,offer
Wool for charity knitting,"{4, 38, 8, 11, 85, 62}",2372,addington,offer
"Gladioli bulbs (mainly pink, cream & yellow throated)","{2, 6, 11, 172, 53, 25}",2365,addington,offer
Clothing repairs,"{2, 173}",2364,addington,offer
Home Handyman/Labourer,"{9, 74, 69, 71}",2363,addington,offer
Massages,"{40, 5}",2358,addington,offer
"Proof reading, editing, layout","{81, 10, 75, 174}",2354,addington,offer
Ear Candles,"{5, 40, 11, 44, 83}",2303,addington,offer
babysitting,"{2, 19}",2348,addington,offer
Photography,"{8, 65}",2346,addington,offer
Kombucha SCOBY's on offer,"{42, 11, 172, 5}",2317,addington,offer
Social Media help,"{56, 7}",2304,addington,offer
Sharing stories,"{3, 28, 29, 31}",2287,addington,offer
Home and Recreational Kill processing services,"{2, 5, 42, 11, 83, 20}",2217,addington,offer
"Gelato in cup, cone or as a sundae","{2, 4, 6, 175, 20, 53}",2216,addington,offer
Media releases/getting things in the paper,"{34, 4, 36, 11, 172}",2202,addington,offer
Help with CV's and cover letters,"{11, 172}",2201,addington,offer
Budgeting,"{25, 2, 58, 7}",2190,addington,offer
"Computer, Software, Website, SmartPhone,Techy stuff.","{56, 10, 76, 7}",2149,addington,offer
I fix Macs.,"{9, 10, 76, 74}",2089,addington,offer
Transport to grocery shopping on Wednesday avo preferred.,"{1, 34, 4, 12}",2414,addington,request
Home handyman/Labourer,"{9, 69}",2419,addington,request
Help with quilting,"{8, 64, 62}",2417,addington,request
Dietian/Nutrition Advice,"{42, 5}",2416,addington,request
Borrowing a gazebo,"{6, 71, 9, 11, 49, 84}",2413,addington,request
Gardening,"{9, 71}",2400,addington,request
Car Alarm Installation,"{9, 68}",2396,addington,request
"Sanding, filling, painting top half of outdoor walls.","{72, 9}",2385,addington,request
Glazier,"{2, 69, 9, 74, 23}",2383,addington,request
Admin training,"{7, 10, 75, 81, 59}",2371,addington,request
Soup,"{2, 11, 20, 84}",2337,addington,request
Regular but also often random & intermittent (!) transport needs,"{1, 4, 38, 39, 13}",2293,addington,request
Pies,"{2, 20}",2286,addington,request
