cat_id,cat_parent,category,count_offers,timebank,timestamp
8,is_parent,"Arts, Crafts & Music",3,addington,2019-01-22 09:37:50
62,8,Crafts,2,addington,2019-01-22 09:37:50
67,8,Miscellaneous,1,addington,2019-01-22 09:37:50
65,8,Photo & Video,1,addington,2019-01-22 09:37:50
0,is_parent,Business Services,6,addington,2019-01-22 09:37:50
75,0,Clerical,2,addington,2019-01-22 09:37:50
76,0,Computer Support,4,addington,2019-01-22 09:37:50
8,0,Miscellaneous,1,addington,2019-01-22 09:37:50
74,0,Proof Reading,1,addington,2019-01-22 09:37:50
4,is_parent,Community Activities,5,addington,2019-01-22 09:37:50
33,4,Clean-up / Recycling,1,addington,2019-01-22 09:37:50
34,4,Community Service,2,addington,2019-01-22 09:37:50
75,4,Events,1,addington,2019-01-22 09:37:50
35,4,Fund-raising,1,addington,2019-01-22 09:37:50
36,4,Help Our TimeBank!,1,addington,2019-01-22 09:37:50
37,4,Special Projects,1,addington,2019-01-22 09:37:50
38,4,Work For Social Change,1,addington,2019-01-22 09:37:50
3,is_parent,Companionship,2,addington,2019-01-22 09:37:50
28,3,Email / IM,1,addington,2019-01-22 09:37:50
29,3,Home Visits,1,addington,2019-01-22 09:37:50
32,3,Miscellaneous,1,addington,2019-01-22 09:37:50
3,3,Telephone Calls,2,addington,2019-01-22 09:37:50
7,is_parent,Education,7,addington,2019-01-22 09:37:50
56,7,Computers / Technology,5,addington,2019-01-22 09:37:50
58,7,Personal Finances,1,addington,2019-01-22 09:37:50
59,7,Tutoring / Mentoring,1,addington,2019-01-22 09:37:50
2,is_parent,Help At Home,8,addington,2019-01-22 09:37:50
20,2,Cooking & Baking,2,addington,2019-01-22 09:37:50
2,2,Hair & Beauty,1,addington,2019-01-22 09:37:50
22,2,Housekeeping / Chores,1,addington,2019-01-22 09:37:50
25,2,Miscellaneous,2,addington,2019-01-22 09:37:50
23,2,Pet Care,1,addington,2019-01-22 09:37:50
73,2,Sewing,1,addington,2019-01-22 09:37:50
9,is_parent,Home,6,addington,2019-01-22 09:37:50
69,9,Carpentry / Construction,2,addington,2019-01-22 09:37:50
70,9,Electrical,2,addington,2019-01-22 09:37:50
7,9,Garden & Yard Work,1,addington,2019-01-22 09:37:50
74,9,Miscellaneous,3,addington,2019-01-22 09:37:50
8,is_parent,"Arts, Crafts & Music",0,aha,2019-01-22 09:37:50
0,is_parent,Business Services,0,aha,2019-01-22 09:37:50
4,is_parent,Community Activities,0,aha,2019-01-22 09:37:50
7,is_parent,Education,0,aha,2019-01-22 09:37:50
57,is_parent,Gardens,0,aha,2019-01-22 09:37:50
2,is_parent,Help At Home,0,aha,2019-01-22 09:37:50
9,is_parent,Home,0,aha,2019-01-22 09:37:50
8,is_parent,"Arts, Crafts & Music",0,alticultura,2019-01-22 09:37:50
0,is_parent,Business Services,0,alticultura,2019-01-22 09:37:50
4,is_parent,Community Activities,0,alticultura,2019-01-22 09:37:50
3,is_parent,Companionship,0,alticultura,2019-01-22 09:37:50
7,is_parent,Education,0,alticultura,2019-01-22 09:37:50
2,is_parent,Help At Home,0,alticultura,2019-01-22 09:37:50
9,is_parent,Home,0,alticultura,2019-01-22 09:37:50
8,is_parent,"Arts, Crafts & Music",0,andersoncommunity,2019-01-22 09:37:50
0,is_parent,Business Services,0,andersoncommunity,2019-01-22 09:37:50
4,is_parent,Community Activities,0,andersoncommunity,2019-01-22 09:37:50
3,is_parent,Companionship,0,andersoncommunity,2019-01-22 09:37:50
7,is_parent,Education,0,andersoncommunity,2019-01-22 09:37:50
2,is_parent,Help At Home,0,andersoncommunity,2019-01-22 09:37:50
9,is_parent,Home,0,andersoncommunity,2019-01-22 09:37:50
8,is_parent,"Arts, Crafts & Music",0,ate,2019-01-22 09:37:50
0,is_parent,Business Services,2,ate,2019-01-22 09:37:50
75,0,Clerical,1,ate,2019-01-22 09:37:50
76,0,Computer Support,1,ate,2019-01-22 09:37:50
8,0,Miscellaneous,1,ate,2019-01-22 09:37:50
4,is_parent,Community Activities,0,ate,2019-01-22 09:37:50
3,is_parent,Companionship,0,ate,2019-01-22 09:37:50
7,is_parent,Education,1,ate,2019-01-22 09:37:50
56,7,Computers / Technology,1,ate,2019-01-22 09:37:50
2,is_parent,Help At Home,1,ate,2019-01-22 09:37:50
22,2,Housekeeping / Chores,1,ate,2019-01-22 09:37:50
24,2,Respite Care,1,ate,2019-01-22 09:37:50
9,is_parent,Home,0,ate,2019-01-22 09:37:50
8,is_parent,"Arts, Crafts & Music",0,avl,2019-01-22 09:37:50
0,is_parent,Business Services,0,avl,2019-01-22 09:37:50
4,is_parent,Community Activities,0,avl,2019-01-22 09:37:50
3,is_parent,Companionship,0,avl,2019-01-22 09:37:50
7,is_parent,Education,0,avl,2019-01-22 09:37:50
2,is_parent,Help At Home,0,avl,2019-01-22 09:37:50
9,is_parent,Home,0,avl,2019-01-22 09:37:50
8,is_parent,"Arts, Crafts & Music",16,atx,2019-01-22 09:37:50
6,8,Classes,2,atx,2019-01-22 09:37:50
62,8,Crafts,1,atx,2019-01-22 09:37:50
64,8,Lessons,5,atx,2019-01-22 09:37:50
67,8,Miscellaneous,8,atx,2019-01-22 09:37:50
65,8,Photo & Video,3,atx,2019-01-22 09:37:50
0,is_parent,Business Services,9,atx,2019-01-22 09:37:50
75,0,Clerical,1,atx,2019-01-22 09:37:50
76,0,Computer Support,2,atx,2019-01-22 09:37:50
79,0,Marketing,1,atx,2019-01-22 09:37:50
8,0,Miscellaneous,5,atx,2019-01-22 09:37:50
4,is_parent,Community Activities,4,atx,2019-01-22 09:37:50
33,4,Clean-up / Recycling,1,atx,2019-01-22 09:37:50
34,4,Community Service,1,atx,2019-01-22 09:37:50
39,4,Miscellaneous,1,atx,2019-01-22 09:37:50
38,4,Work For Social Change,1,atx,2019-01-22 09:37:50
3,is_parent,Companionship,3,atx,2019-01-22 09:37:50
26,3,Clubs,1,atx,2019-01-22 09:37:50
32,3,Miscellaneous,2,atx,2019-01-22 09:37:50
7,is_parent,Education,16,atx,2019-01-22 09:37:50
54,7,Advocacy,1,atx,2019-01-22 09:37:50
55,7,Classes / Workshops,2,atx,2019-01-22 09:37:50
56,7,Computers / Technology,4,atx,2019-01-22 09:37:50
60,7,Miscellaneous,5,atx,2019-01-22 09:37:50
59,7,Tutoring / Mentoring,6,atx,2019-01-22 09:37:50
2,is_parent,Help At Home,21,atx,2019-01-22 09:37:50
9,2,Child Care,1,atx,2019-01-22 09:37:50
20,2,Cooking & Sewing,7,atx,2019-01-22 09:37:50
22,2,Housekeeping / Chores,5,atx,2019-01-22 09:37:50
25,2,Miscellaneous,7,atx,2019-01-22 09:37:50
23,2,Pet Care,1,atx,2019-01-22 09:37:50
24,2,Respite Care,1,atx,2019-01-22 09:37:50
9,is_parent,Home,15,atx,2019-01-22 09:37:50
69,9,Carpentry / Construction,1,atx,2019-01-22 09:37:50
7,9,Garden & Yard Work,3,atx,2019-01-22 09:37:50
74,9,Miscellaneous,9,atx,2019-01-22 09:37:50
72,9,Painting,2,atx,2019-01-22 09:37:50
2,is_parent,Aide a la Maison,0,labodunautilus,2019-01-22 09:37:50
8,is_parent,"Arts, Travaux manuels & Musique",0,labodunautilus,2019-01-22 09:37:50
8,is_parent,"Arts, Crafts & Music",1,blackhills,2019-01-22 09:37:50
62,8,Crafts,1,blackhills,2019-01-22 09:37:50
0,is_parent,Business Services,0,blackhills,2019-01-22 09:37:50
4,is_parent,Community Activities,0,blackhills,2019-01-22 09:37:50
3,is_parent,Companionship,0,blackhills,2019-01-22 09:37:50
7,is_parent,Education,0,blackhills,2019-01-22 09:37:50
2,is_parent,Help At Home,0,blackhills,2019-01-22 09:37:50
9,is_parent,Home,1,blackhills,2019-01-22 09:37:50
7,9,Garden & Yard Work,1,blackhills,2019-01-22 09:37:50
8,is_parent,Arts,13,ujimaboston,2019-01-22 09:37:50
2,8,Art,3,ujimaboston,2019-01-22 09:37:50
