cat_id,cat_parent,category,count_talent,timebank
8,is_parent,"Arts, Crafts & Music",46,addington
61,8,Classes,8,addington
62,8,Crafts,19,addington
63,8,Entertainment,5,addington
64,8,Lessons,4,addington
67,8,Miscellaneous,2,addington
65,8,Photo & Video,7,addington
66,8,Theater,1,addington
10,is_parent,Business Services,79,addington
75,10,Clerical,14,addington
76,10,Computer Support,18,addington
77,10,Financial,4,addington
79,10,Marketing,7,addington
81,10,Miscellaneous,9,addington
174,10,Proof Reading,17,addington
80,10,Research,10,addington
4,is_parent,Community Activities,150,addington
33,4,Clean-up / Recycling,19,addington
34,4,Community Service,22,addington
175,4,Events,11,addington
35,4,Fund-raising,13,addington
86,4,Group Projects,15,addington
36,4,Help Our TimeBank!,19,addington
39,4,Miscellaneous,10,addington
37,4,Special Projects,18,addington
38,4,Work For Social Change,23,addington
3,is_parent,Companionship,72,addington
26,3,Clubs,5,addington
27,3,Dining Out,6,addington
28,3,Email / IM,14,addington
29,3,Home Visits,16,addington
30,3,Medical Errands,6,addington
32,3,Miscellaneous,10,addington
31,3,Telephone Calls,15,addington
7,is_parent,Education,85,addington
54,7,Advocacy,5,addington
55,7,Classes / Workshops,15,addington
56,7,Computers / Technology,20,addington
57,7,Languages / Translation,8,addington
60,7,Miscellaneous,8,addington
58,7,Personal Finances,9,addington
59,7,Tutoring / Mentoring,20,addington
2,is_parent,Help At Home,95,addington
19,2,Child Care,12,addington
20,2,Cooking & Baking,26,addington
21,2,Hair & Beauty,2,addington
22,2,Housekeeping / Chores,13,addington
25,2,Miscellaneous,12,addington
23,2,Pet Care,18,addington
24,2,Respite Care,4,addington
173,2,Sewing,8,addington
9,is_parent,Home,53,addington
68,9,Car Care,2,addington
69,9,Carpentry / Construction,4,addington
70,9,Electrical,3,addington
71,9,Garden & Yard Work,25,addington
74,9,Miscellaneous,11,addington
72,9,Painting,7,addington
73,9,Plumbing,1,addington
11,is_parent,Misc. (Not Above),41,addington
82,11,All Other Services,5,addington
83,11,For Sale,7,addington
85,11,Free Stuff,17,addington
172,11,Miscellaneous,8,addington
84,11,Wanted,4,addington
6,is_parent,Recreation,57,addington
47,6,Books & Videos,14,addington
48,6,Dancing,7,addington
49,6,Events,10,addington
50,6,Games,5,addington
53,6,Miscellaneous,7,addington
51,6,Sports,9,addington
52,6,Travel,5,addington
1,is_parent,Transportation,45,addington
12,1,Errands / Shopping,13,addington
13,1,Local,15,addington
14,1,Long Distance,2,addington
15,1,Medical,4,addington
18,1,Miscellaneous,3,addington
16,1,Train / Bus / Airport,6,addington
17,1,Worship,2,addington
5,is_parent,Wellness,48,addington
40,5,Complementary Therapies,13,addington
41,5,Counseling,4,addington
42,5,Diet & Nutrition,9,addington
43,5,Fitness & Exercise,6,addington
44,5,Medical Services,2,addington
46,5,Miscellaneous,8,addington
45,5,Yoga / Meditation,6,addington
8,is_parent,"Arts, Crafts & Music",10,aha
61,8,Classes,3,aha
62,8,Crafts,2,aha
64,8,Lessons,3,aha
67,8,Miscellaneous,2,aha
10,is_parent,Business Services,7,aha
76,10,Computer Support,3,aha
79,10,Marketing,2,aha
81,10,Miscellaneous,2,aha
4,is_parent,Community Activities,1,aha
36,4,Help Our TimeBank!,1,aha
7,is_parent,Education,8,aha
55,7,Classes / Workshops,4,aha
60,7,Miscellaneous,1,aha
59,7,Tutoring / Mentoring,3,aha
157,is_parent,Gardens,8,aha
158,157,CSA,1,aha
159,157,Hight Tunnels,1,aha
160,157,Home Yard or Garden,3,aha
161,157,Peoples Garden Projects,3,aha
2,is_parent,Help At Home,15,aha
19,2,Child Care,3,aha
172,2,Cooking,2,aha
21,2,Hair & Beauty,1,aha
22,2,Housekeeping / Chores,2,aha
25,2,Miscellaneous,3,aha
23,2,Pet Care,1,aha
24,2,Respite Care,3,aha
9,is_parent,Home,2,aha
69,9,Carpentry / Construction,1,aha
72,9,Painting,1,aha
11,is_parent,Misc. (Not Above),0,aha
6,is_parent,Recreation,2,aha
53,6,Miscellaneous,1,aha
52,6,Travel,1,aha
163,is_parent,Sharing Resoures,8,aha
165,163,Garden Tools,1,aha
166,163,Kitchen Equipment,1,aha
168,163,Miscellaneous,4,aha
167,163,Sporting Equipment,2,aha
154,is_parent,Transportation,2,aha
155,154,Auto,2,aha
5,is_parent,Wellness,7,aha
41,5,Counseling,1,aha
46,5,Miscellaneous,6,aha
8,is_parent,"Arts, Crafts & Music",0,alticultura
10,is_parent,Business Services,0,alticultura
4,is_parent,Community Activities,1,alticultura
38,4,Work For Social Change,1,alticultura
3,is_parent,Companionship,0,alticultura
7,is_parent,Education,2,alticultura
54,7,Advocacy,1,alticultura
57,7,Languages / Translation,1,alticultura
2,is_parent,Help At Home,1,alticultura
23,2,Pet Care,1,alticultura
9,is_parent,Home,2,alticultura
74,9,Miscellaneous,1,alticultura
72,9,Painting,1,alticultura
11,is_parent,Misc. (Not Above),0,alticultura
6,is_parent,Recreation,0,alticultura
1,is_parent,Transportation,0,alticultura
5,is_parent,Wellness,1,alticultura
46,5,Miscellaneous,1,alticultura
8,is_parent,"Arts, Crafts & Music",4,andersoncommunity
62,8,Crafts,3,andersoncommunity
64,8,Lessons,1,andersoncommunity
10,is_parent,Business Services,8,andersoncommunity
75,10,Clerical,3,andersoncommunity
76,10,Computer Support,1,andersoncommunity
79,10,Marketing,2,andersoncommunity
81,10,Miscellaneous,1,andersoncommunity
80,10,Research,1,andersoncommunity
4,is_parent,Community Activities,6,andersoncommunity
33,4,Clean-up / Recycling,1,andersoncommunity
34,4,Community Service,1,andersoncommunity
35,4,Fund-raising,1,andersoncommunity
86,4,Group Projects,1,andersoncommunity
36,4,Help Our TimeBank!,1,andersoncommunity
37,4,Special Projects,1,andersoncommunity
3,is_parent,Companionship,3,andersoncommunity
28,3,Email / IM,1,andersoncommunity
32,3,Miscellaneous,1,andersoncommunity
31,3,Telephone Calls,1,andersoncommunity
7,is_parent,Education,4,andersoncommunity
54,7,Advocacy,1,andersoncommunity
55,7,Classes / Workshops,1,andersoncommunity
56,7,Computers / Technology,1,andersoncommunity
60,7,Miscellaneous,1,andersoncommunity
2,is_parent,Help At Home,6,andersoncommunity
20,2,Cooking & Sewing,3,andersoncommunity
22,2,Housekeeping / Chores,1,andersoncommunity
25,2,Miscellaneous,1,andersoncommunity
23,2,Pet Care,1,andersoncommunity
9,is_parent,Home,2,andersoncommunity
71,9,Garden & Yard Work,2,andersoncommunity
11,is_parent,Misc. (Not Above),1,andersoncommunity
83,11,For Sale,1,andersoncommunity
6,is_parent,Recreation,2,andersoncommunity
47,6,Books & Videos,2,andersoncommunity
1,is_parent,Transportation,4,andersoncommunity
12,1,Errands / Shopping,2,andersoncommunity
14,1,Long Distance,1,andersoncommunity
15,1,Medical,1,andersoncommunity
5,is_parent,Wellness,0,andersoncommunity
8,is_parent,"Arts, Crafts & Music",0,ate
10,is_parent,Business Services,3,ate
75,10,Clerical,1,ate
76,10,Computer Support,1,ate
81,10,Miscellaneous,1,ate
4,is_parent,Community Activities,0,ate
7,is_parent,Education,1,ate
56,7,Computers / Technology,1,ate
2,is_parent,Help At Home,2,ate
22,2,Housekeeping / Chores,1,ate
24,2,Respite Care,1,ate
11,is_parent,Misc. (Not Above),0,ate
6,is_parent,Recreation,0,ate
1,is_parent,Transportation,1,ate
12,1,Errands / Shopping,1,ate
5,is_parent,Wellness,3,ate
40,5,Complementary Therapies,1,ate
45,5,Yoga / Meditation,2,ate
8,is_parent,"Arts, Crafts & Music",0,avl
10,is_parent,Business Services,0,avl
4,is_parent,Community Activities,0,avl
3,is_parent,Companionship,0,avl
7,is_parent,Education,0,avl
2,is_parent,Help At Home,0,avl
9,is_parent,Home,0,avl
11,is_parent,Misc. (Not Above),0,avl
6,is_parent,Recreation,0,avl
1,is_parent,Transportation,0,avl
5,is_parent,Wellness,0,avl
8,is_parent,"Arts, Crafts & Music",52,atx
61,8,Classes,5,atx
62,8,Crafts,11,atx
63,8,Entertainment,2,atx
64,8,Lessons,14,atx
67,8,Miscellaneous,11,atx
65,8,Photo & Video,9,atx
10,is_parent,Business Services,23,atx
75,10,Clerical,6,atx
76,10,Computer Support,6,atx
77,10,Financial,1,atx
79,10,Marketing,4,atx
81,10,Miscellaneous,5,atx
80,10,Research,1,atx
4,is_parent,Community Activities,38,atx
33,4,Clean-up / Recycling,8,atx
34,4,Community Service,8,atx
35,4,Fund-raising,3,atx
86,4,Group Projects,1,atx
36,4,Help Our TimeBank!,3,atx
39,4,Miscellaneous,5,atx
37,4,Special Projects,3,atx
38,4,Work For Social Change,7,atx
3,is_parent,Companionship,18,atx
26,3,Clubs,2,atx
27,3,Dining Out,2,atx
28,3,Email / IM,2,atx
29,3,Home Visits,3,atx
30,3,Medical Errands,2,atx
32,3,Miscellaneous,5,atx
31,3,Telephone Calls,2,atx
7,is_parent,Education,41,atx
54,7,Advocacy,2,atx
55,7,Classes / Workshops,7,atx
56,7,Computers / Technology,7,atx
57,7,Languages / Translation,7,atx
60,7,Miscellaneous,6,atx
59,7,Tutoring / Mentoring,12,atx
2,is_parent,Help At Home,59,atx
19,2,Child Care,7,atx
20,2,Cooking & Sewing,18,atx
21,2,Hair & Beauty,3,atx
22,2,Housekeeping / Chores,10,atx
25,2,Miscellaneous,8,atx
23,2,Pet Care,10,atx
24,2,Respite Care,3,atx
9,is_parent,Home,47,atx
68,9,Car Care,1,atx
69,9,Carpentry / Construction,6,atx
70,9,Electrical,2,atx
71,9,Garden & Yard Work,14,atx
74,9,Miscellaneous,14,atx
72,9,Painting,8,atx
73,9,Plumbing,2,atx
11,is_parent,Misc. (Not Above),12,atx
82,11,All Other Services,7,atx
85,11,Free Stuff,1,atx
171,11,Miscellaneous,4,atx
6,is_parent,Recreation,32,atx
47,6,Books & Videos,6,atx
48,6,Dancing,1,atx
49,6,Events,4,atx
50,6,Games,3,atx
53,6,Miscellaneous,8,atx
51,6,Sports,6,atx
52,6,Travel,4,atx
1,is_parent,Transportation,41,atx
12,1,Errands / Shopping,10,atx
13,1,Local,17,atx
14,1,Long Distance,6,atx
15,1,Medical,3,atx
18,1,Miscellaneous,2,atx
16,1,Train / Bus / Airport,3,atx
5,is_parent,Wellness,28,atx
40,5,Complementary Therapies,3,atx
41,5,Counseling,6,atx
42,5,Diet & Nutrition,4,atx
43,5,Fitness & Exercise,7,atx
46,5,Miscellaneous,4,atx
