,exchanges,hours,last_exchange,members,offers,requests,timebank
0,1132,5997,1 hour 25 min ago,178,37,28,addington
1,439,1375,2 years 41 weeks ago,207,0,0,aha
2,none (start up),none (start up),none (start up),2,0,0,alticultura
3,2,3,3 years 12 weeks ago,8,0,0,andersoncommunity
4,1,5,1 year 30 weeks ago,8,4,4,ate
5,none (start up),none (start up),none (start up),2,0,0,avl
6,2179,4889,5 weeks 2 days ago,58,91,80,atx
7,7,14,1 year 47 weeks ago,11,0,0,labodunautilus
8,74,384,4 weeks 6 days ago,37,2,2,blackhills
9,199,1140,18 hours 59 min ago,176,59,50,ujimaboston
10,17391,52351,3 hours 23 min ago,170,162,197,brattleboro
11,1042,6059,1 day 13 hours ago,172,24,32,bridge2rocks
12,10980,26270,4 hours 3 min ago,124,104,115,capeann
13,396,913,2 days 3 hours ago,49,11,4,care
14,5,6,1 year 6 weeks ago,2,0,0,engaging
15,834,2044,5 hours 52 min ago,107,31,33,cris
16,none (start up),none (start up),none (start up),4,0,0,centraliowa
17,56,102,5 weeks 5 days ago,71,14,14,lincolnskillshare
18,none (start up),none (start up),none (start up),2,0,0,nzcentralpermaculture
19,none (start up),none (start up),none (start up),5,0,0,changexchange
20,none (start up),none (start up),none (start up),2,0,0,circlenomic
21,none (start up),none (start up),none (start up),8,4,4,citypark
22,6306,14393,2 days 56 min ago,284,114,108,columbia
23,6,18,2 weeks 3 days ago,22,6,7,slocanvalley
24,625,7712,3 years 38 weeks ago,453,10,9,manasota
25,30191,209344,4 days 2 hours ago,225,6881,6857,tdn
26,379,970,4 days 3 hours ago,18,80,76,cse
27,1439,4889,2 days 1 hour ago,58,41,45,communityskillexchange
28,67,111,3 days 2 hours ago,91,76,14,richmondcounty
29,none (start up),none (start up),none (start up),2,0,0,northfrontenac
30,5,22,3 years 20 weeks ago,11,0,0,katytx
31,22488,68899,1 hour 6 min ago,431,245,290,crookedriver
32,none (start up),none (start up),none (start up),2,0,0,danvilledollars
33,361,1080,6 weeks 6 days ago,219,42,38,dc
34,405,1285,1 year 7 weeks ago,127,0,0,dhe
35,43,94,1 year 25 weeks ago,42,8,6,democw3
36,4,5,1 year 24 weeks ago,52,1,1,denton
37,644,5341,2 days 21 hours ago,100,33,34,dunedin
38,none (start up),none (start up),none (start up),8,0,0,durham
39,none (start up),none (start up),none (start up),4,0,0,eann
40,227,811,4 days 18 hours ago,94,11,14,earn
41,5646,19627,3 hours 17 min ago,192,33,31,eastbay
42,10,119,2 years 28 weeks ago,6,0,0,fablabchch
43,1,1,28 weeks 54 min ago,5,0,1,fairbanks
44,3,12,31 weeks 5 days ago,33,1,1,farnorth
45,none (start up),none (start up),none (start up),2,0,0,farmster
46,1,1,2 years 18 weeks ago,6,0,0,flourish
47,721,1599,2 weeks 1 day ago,91,46,49,frederick
48,1,1,1 year 36 weeks ago,15,0,0,ghoodcalgary
49,none (start up),none (start up),none (start up),1,0,0,karma
50,none (start up),none (start up),none (start up),2,0,0,globetable
51,21,51,1 week 4 hours ago,24,11,5,goodneighborstb
52,4,13,3 years 5 weeks ago,14,9,9,scgm
53,518,1177,2 hours 6 min ago,51,34,36,greatbay
54,10,25,3 years 5 weeks ago,8,0,0,gct
55,59,99,46 weeks 2 hours ago,50,12,12,greaterheights
56,326,1282,32 weeks 3 days ago,202,102,103,gwtb
57,23,111,11 weeks 4 days ago,9,10,10,choptank
58,none (start up),none (start up),none (start up),2,0,0,healthyoutcomeswin
59,38,47,2 years 4 weeks ago,31,0,0,bc-historyofmoney
60,none (start up),none (start up),none (start up),1,0,0,hopexchange
61,49,106,1 year 36 weeks ago,42,3,3,hour4ourworld
62,25,60,21 weeks 4 days ago,38,19,19,hourcommunityinterfaith
63,116,117,6 hours 58 min ago,50,9,9,isiinc
64,16,49,20 weeks 4 hours ago,66,8,8,jeffersoncommunity
65,117,189,1 year 3 weeks ago,37,3,3,jerseyshore
66,2180,11097,1 day 2 hours ago,119,77,85,kaitaia
67,none (start up),none (start up),none (start up),3,0,0,kapiti50
68,none (start up),none (start up),none (start up),1,0,0,klc
69,1,2,3 years 24 weeks ago,4,0,0,khokha
70,72,179,23 weeks 1 day ago,120,15,20,letsbmore
71,none (start up),none (start up),none (start up),11,0,0,margination
72,5,5,1 year 47 weeks ago,6,0,0,meadville
73,1362,4304,12 hours 59 min ago,152,39,73,midcanterbury
74,161,414,3 years 14 weeks ago,29,1,1,mk
75,2,4,2 years 14 weeks ago,5,0,0,mttimeexchange
76,117,371,16 weeks 1 day ago,67,10,5,murihiku
77,none (start up),none (start up),none (start up),17,0,0,mwdi
78,263,2245,4 weeks 5 days ago,467,18,9,nbnneighborhoodnetwork
79,31,34,18 weeks 20 hours ago,18,9,4,piedmont
80,none (start up),none (start up),none (start up),3,0,0,theneighborhoodvillage
81,53,152,2 years 40 weeks ago,17,0,0,nerd
82,201,344,3 days 5 hours ago,127,39,29,nether-swarthmore
83,782,2069,4 days 15 min ago,145,65,61,nrv
84,1216,2804,2 weeks 3 hours ago,362,156,156,nola
85,none (start up),none (start up),none (start up),5,2,2,norman
86,none (start up),none (start up),none (start up),3,0,0,ncc
87,1613,4291,4 days 19 hours ago,137,35,26,northwestnewjersey
88,31,86,3 years 24 weeks ago,87,0,0,oahu
89,60,106,9 weeks 22 hours ago,40,35,24,ojai
90,16449,49337,2 days 3 hours ago,163,201,202,orexchange
91,2778,7396,8 weeks 2 days ago,74,8,8,otaki
92,10,23,2 years 44 weeks ago,6,1,1,ourcommunity
93,49,253,1 year 48 weeks ago,32,0,0,oscab
94,160,231,1 year 39 weeks ago,44,14,14,washingtoncountywi
95,5,8,3 years 40 weeks ago,19,18,18,pay4wardbank
96,11929,41212,6 hours 6 min ago,164,51,69,patb
97,164,350,6 days 22 hours ago,23,5,7,porirua
98,none (start up),none (start up),none (start up),2,0,0,pridestl
99,363,864,1 year 50 weeks ago,77,5,8,projectbunbury
100,107,344,6 days 22 hours ago,32,42,45,reciprocity
101,3,7,1 year 33 weeks ago,12,0,0,rvtb
102,none (start up),none (start up),none (start up),5,3,3,scouts
103,1950,4512,5 min 17 sec ago,218,122,125,sebastopolarea
104,5161,16941,2 years 29 weeks ago,157,0,0,sobrantepark
105,108,446,19 hours 38 min ago,18,15,6,springhillfl
106,2,29856,27 weeks 2 days ago,9,2,2,spurt
107,3273,7742,35 min 1 sec ago,166,180,211,stpete
108,2,7,17 weeks 1 day ago,126,5,4,startribehours
109,1964,4760,1 day 4 hours ago,50,105,93,swel
110,29,149,36 weeks 6 days ago,28,16,9,takomatime
111,12,52,46 weeks 19 min ago,12,17,16,taneycounty
112,2517,5722,19 min 29 sec ago,291,63,66,taranaki
113,1,1,25 weeks 1 day ago,3,0,0,test-launch-2018-07-28-2058
114,1,2,12 weeks 1 day ago,19,1,2,thecommunityproject
115,2988,6027,3 days 15 hours ago,266,46,35,huttsouth
116,11923,153370,2 hours 41 min ago,860,15,26,lyttelton
