,exchanges,hours,last_exchange,members,offers,requests,timebank
0,1127,5973,1 day 6 hours ago,178,34,26,addington
1,439,1375,2 years 40 weeks ago,207,0,0,aha
2,none (start up),none (start up),none (start up),2,0,0,alticultura
3,2,3,3 years 11 weeks ago,8,0,0,andersoncommunity
4,1,5,1 year 29 weeks ago,8,4,4,ate
5,none (start up),none (start up),none (start up),2,0,0,avl
6,2179,4889,3 weeks 6 days ago,58,89,79,atx
7,7,14,1 year 45 weeks ago,11,0,0,labodunautilus
8,74,384,3 weeks 3 days ago,37,3,2,blackhills
9,193,1110,1 day 10 hours ago,170,59,48,ujimaboston
10,17346,52055,10 hours 27 min ago,170,158,194,brattleboro
11,1036,6040,1 day 6 hours ago,172,23,29,bridge2rocks
12,10962,26235,6 hours 26 min ago,124,105,120,capeann
13,393,907,4 days 11 hours ago,49,11,4,care
14,5,6,1 year 5 weeks ago,2,0,0,engaging
15,831,2038,3 days 15 hours ago,107,31,33,cris
16,none (start up),none (start up),none (start up),4,0,0,centraliowa
17,56,102,4 weeks 2 days ago,70,16,13,lincolnskillshare
18,none (start up),none (start up),none (start up),2,0,0,nzcentralpermaculture
19,none (start up),none (start up),none (start up),5,0,0,changexchange
20,none (start up),none (start up),none (start up),2,0,0,circlenomic
21,none (start up),none (start up),none (start up),8,4,4,citypark
22,6304,14388,4 days 6 hours ago,286,116,106,columbia
23,6,18,1 week 10 hours ago,22,6,7,slocanvalley
24,625,7712,3 years 36 weeks ago,453,10,9,manasota
25,30189,209340,3 weeks 15 hours ago,223,6879,6855,tdn
26,377,963,2 weeks 2 days ago,18,80,76,cse
27,1427,4876,2 days 6 hours ago,58,41,45,communityskillexchange
28,60,101,4 days 11 hours ago,88,76,17,richmondcounty
29,none (start up),none (start up),none (start up),2,0,0,northfrontenac
30,5,22,3 years 18 weeks ago,11,0,0,katytx
31,22423,68760,5 hours 31 min ago,426,244,288,crookedriver
32,none (start up),none (start up),none (start up),2,0,0,danvilledollars
33,361,1080,5 weeks 3 days ago,219,42,38,dc
34,405,1285,1 year 6 weeks ago,127,0,0,dhe
35,43,94,1 year 23 weeks ago,42,8,6,democw3
36,4,5,1 year 23 weeks ago,52,1,1,denton
37,642,5337,3 hours 42 min ago,100,34,35,dunedin
38,none (start up),none (start up),none (start up),8,0,0,durham
39,none (start up),none (start up),none (start up),4,0,0,eann
40,224,800,9 weeks 5 days ago,92,12,15,earn
41,5640,19596,1 week 8 hours ago,192,35,36,eastbay
42,10,119,2 years 27 weeks ago,6,0,0,fablabchch
43,1,1,26 weeks 4 days ago,5,0,1,fairbanks
44,3,12,30 weeks 3 days ago,33,1,1,farnorth
45,none (start up),none (start up),none (start up),2,0,0,farmster
46,1,1,2 years 17 weeks ago,6,0,0,flourish
47,721,1599,5 days 12 hours ago,91,48,50,frederick
48,1,1,1 year 35 weeks ago,15,0,0,ghoodcalgary
49,none (start up),none (start up),none (start up),1,0,0,karma
50,none (start up),none (start up),none (start up),2,0,0,globetable
51,14,30,4 weeks 3 days ago,24,11,5,goodneighborstb
52,4,13,3 years 4 weeks ago,14,9,9,scgm
53,513,1165,5 days 7 hours ago,49,34,36,greatbay
54,10,25,3 years 3 weeks ago,8,0,0,gct
55,59,99,44 weeks 4 days ago,51,12,12,greaterheights
56,326,1282,31 weeks 7 hours ago,202,102,103,gwtb
57,23,111,10 weeks 1 day ago,9,10,10,choptank
58,none (start up),none (start up),none (start up),2,0,0,healthyoutcomeswin
59,38,47,2 years 3 weeks ago,31,0,0,bc-historyofmoney
60,none (start up),none (start up),none (start up),1,0,0,hopexchange
61,49,106,1 year 35 weeks ago,42,3,3,hour4ourworld
62,25,60,20 weeks 1 day ago,38,19,19,hourcommunityinterfaith
63,113,114,2 weeks 2 days ago,47,9,9,isiinc
64,16,49,18 weeks 4 days ago,66,8,8,jeffersoncommunity
65,117,189,1 year 2 weeks ago,37,3,3,jerseyshore
66,2160,11046,21 hours 16 min ago,118,77,80,kaitaia
67,none (start up),none (start up),none (start up),3,0,0,kapiti50
68,none (start up),none (start up),none (start up),1,0,0,klc
69,1,2,3 years 23 weeks ago,4,0,0,khokha
70,72,179,21 weeks 5 days ago,120,15,20,letsbmore
71,none (start up),none (start up),none (start up),11,0,0,margination
72,5,5,1 year 46 weeks ago,6,0,0,meadville
73,1355,4283,19 hours 23 min ago,152,40,76,midcanterbury
74,161,414,3 years 13 weeks ago,29,1,1,mk
75,2,4,2 years 12 weeks ago,5,0,0,mttimeexchange
76,117,371,14 weeks 6 days ago,67,10,5,murihiku
77,none (start up),none (start up),none (start up),17,0,0,mwdi
78,263,2245,3 weeks 2 days ago,465,18,9,nbnneighborhoodnetwork
