address,country,focus,mission,name,notes,phone,postal,slug,sponsor,timebank,url,url_2
"7 Dickens St, Addington",New Zealand,,"Addington TimeBank: Serving Southern Christchurch and Beyond   MOTTO Swapping Skills, Connecting Communities   MISSION To foster relationship building, increasing connectedness among people, regenerating community and meeting real needs of our community members by shifting thinking beyond money ­based trading. VALUES Addington TimeBank values individual skills; fostering sharing and support; learning both give and take; building trust and responsibility; building local sustainability and resilience.    ""The mission of TimeBanks in general is to nurture and expand a movement that promotes equality and builds caring community economies through inclusive exchange of time and talent. TimeBanks aim to achieve wide ­ranging goals such as social justice, bridges between diverse communities, and local ecological sustainability.                        ● Assets:  We are all assets. We all have something to give. ● Redefining Work ­ Some work is beyond price.  Work has to be redefined to value whatever it takes to raise healthy children, build strong families, revitalize neighborhoods, make democracy work, advance social justice, make the planet sustainable. That kind of work needs to be honored, recorded and rewarded. ● Reciprocity:  ­ Helping works better as a two ­way street.  The question: “How can I help you?” needs to change so we ask: “How can we help each other build the world we both will live in?” ● Social Networks: ­ We need each other.  Networks are stronger than individuals. People helping each other reweave communities of support, strength & trust. Community is built upon sinking roots, building trust, creating networks. Special relationships are built on commitment. ● Respect ­ Every human being:  Respect underlies freedom of speech, freedom of religion, and everything we value. Respect supplies the heart and soul of democracy. When respect is denied to anyone, we all are injured. We must respect where people are in the moment, not where we hope they will be at some future point."" Taken from <http://timebanks.org/about>   VISION Addington Timebank weaves networks among groups and individuals within our community.    Safety",Addington TimeBank,"This TimeBank became live on 1 February 2012.  We have been working on its development since October 2011.  The TimeBank has members who are individuals, families who share an email address, and local groups or organisations.  The development has been made possible because of the work of various  agencies and community groups within Addington.  We welcome members from anywhere but expect that most of our members will be from the Southern and Western suburbs of Christchurch - with a particular focus on Addington, of course.  We are particularly keen to involve members of our community in our development over the next two months as we register our members on this site and get used to trading.  Then for the celebration - we are launching our TimeBank with a working bee and fun day at St Mary's in Church Square Addington on 24 March 2012. ",64 3 3381613,"Christchurch, Canterbury 8024",timebanks/addington-timebank,Addington Community House (Inc),addington,http://addington.timebanks.org,
"331 Sterling Highway, PO BOX 3493 (mailing address)",United States,,Our mission is to strengthen our community   by matching unmet needs with untapped resources.  We help people help each other.,AHA Time Bank (Alaskans Helping Alaskans),,907-299-2060,"Homer, Alaska 99603",timebanks/aha-time-bank-alaskans-helping-alaskans,,aha,http://aha.timebanks.org,
"Entrada al Refugio Tierra Colorada Baja , PO Box 337",Guatemala,,Build adaptive capacity for integrated sustainable human development and climate change adaptation.,Alticultura,,1150230873516,"Quetzaltenango, Quetzaltenango 9001",timebanks/alticultura,Alticultura,alticultura,http://alticultura.timebanks.org,
2889 E. Center St,United States,,"Neighbors helping neighbors by utilizing their gifts, skills and talents to provide services to meet the needs of the community.",Anderson Community Timebank,,530-365-6183,"Anderson, California 96007",timebanks/anderson-community-timebank,Shasta Thrive,andersoncommunity,http://andersoncommunity.timebanks.org,
298 School Circle,United States,,To empower our community in sharing its gifts with one another.,Appalachian Time Exchange,,(706) 530-0114,"Blairsville, Georgia 30512",timebanks/appalachian-time-exchange,Unity of Blairsville,ate,http://ate.timebanks.org,http://www.unityofblairsville.org/ate
39 S Market St B,United States,,To improve interaction and sharing within the community,Asheville TimeBank,ot listed,828 484 6369,"Asheville, North Carolina 28801",timebanks/asheville-timebank,,avl,http://avl.timebanks.org,
123 Uptown,United States,,The Athens Time Exchange (ATX) exists to promote access to resources and recognize the inherent value that everyone has to offer. This occurs when ATX members trade services at no monetary cost within the member network. We strengthen our community bonds as we value each other's time and recognize all time as equal.,Athens Time Exchange,,5555555555,"ATHENS, Ohio 45701",node/797,,atx,http://atx.timebanks.org,
Quiniac,France,,"Raccourcir les liens d'échanges pour recentrer la société sur le côté humain, gagner en économie et ralentir l'ébriété consumériste afin de réduire notre empreinte environnementale.",Banque de Pièces d'Heures du Labo,,33290991598,"Saint-Nolff,  56250",timebanks/le-labo-du-nautilus,,labodunautilus,http://labodunautilus.timebanks.org,http://labodunautilus.org
642 Happy Hollow,United States,,"To provide community members in the Black Hills with a well coordinated service exchange project that values the time and talent of individuals, their families and the larger community through the utilization of time dollars.",Black Hills Time Banking,,605-440-2710,"Hot Springs, South Dakota 57747",timebanks/black-hills-time-banking,,blackhills,http://blackhills.timebanks.org,
"30 Germania St. , Bldg. L",United States,,Meet neighbors. Save money. Share skills.,Boston Ujima Time Bank,,787-315-1616,"Jamaica Plain, Massachusetts 02130",timebanks/jamaica-plain-time-exchange,,ujimaboston,http://ujimaboston.timebanks.org,
