timebank,latitude,longitude,geo_accuracy,age_median,female_percent,race_percent_white,race_percent_black,race_percent_native,race_percent_asian,race_percent_pacific,race_percent_other,race_percent_multi,race_percent_multi_other,race_percent_three,race_percent_hisp,race_percent_hisp_white,race_percent_hisp_black,race_percent_hisp_native,race_percent_hisp_asian,race_percent_hisp_pacific,race_percent_hisp_other,households_number,households_income_median,bachelors_male_percent,bachelors_female_percent,veteran_percent,households_family_percent,households_nowife_percent,households_nohusband_percent,housing_number_units,housing_percent_renters,housing_median_value
addington,39.905295,-74.999953,0.1,45.8,0.509,0.878,0.022000000000000002,0,0.08800000000000001,0,0,0,0,0,0.035,0.217,0,0,0,0,0.7829999999999999,490,125000,0.373,0.335,0.045,0.747,0.008,0.068,513,0.037000000000000005,287300
aha,59.641303,-151.550759,1,39.8,0.5589999999999999,0.89,0.003,0.049,0.011000000000000001,0,0,0.006,0.474,0.526,0.061,0.616,0.03,0.086,0,0,0.172,1310,55571,0.146,0.17600000000000002,0.095,0.574,0.045,0.151,1635,0.44299999999999995,265300
alticultura,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andersoncommunity,40.449372,-122.298322,1,29.7,0.45799999999999996,0.9390000000000001,0.003,0.021,0.015,0,0,0.009000000000000001,1,0,0.057999999999999996,0.746,0,0,0,0,0.099,474,44149,0.084,0,0.09300000000000001,0.662,0.006,0.073,501,0.414,182100
ate,34.875064,-83.952888,1,49.7,0.444,0.9229999999999999,0.04,0.031,0,0,0,0,0,0,0.012,0.743,0,0,0,0,0.257,993,46175,0.04,0.073,0.09,0.75,0.046,0.10300000000000001,1300,0.156,206200
avl,35.593817,-82.550079,1,53.4,0.37200000000000005,0.79,0.14400000000000002,0.006,0.019,0,0.006,0,0,0,0.031,0.7559999999999999,0,0,0,0,0.244,765,24866,0.131,0.29100000000000004,0.111,0.221,0,0.068,967,0.784,516900
atx,39.329387,-82.10135,1,21.3,0.414,0.939,0.021,0.0,0.034,0,0,0,0,0,0.005,1,0,0,0,0,0,344,18571,0.145,0.094,0.015,0.064,0.056,0,429,0.919,104400
labodunautilus,45.572741,-96.295337,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackhills,43.436155,-103.484789,1,44.5,0.434,0.8759999999999999,0.026000000000000002,0.009000000000000001,0.048,0,0,0,0,0,0.027999999999999997,0.212,0,0.115,0,0,0.6729999999999999,705,52656,0.174,0.127,0.171,0.589,0.08800000000000001,0.136,779,0.335,127300
ujimaboston,42.314327,-71.103401,1,38.2,0.489,0.732,0.102,0,0.057,0,0.008,0.01,0,1,0.214,0.243,0.045,0,0,0,0.667,516,84750,0.37,0.389,0.009000000000000001,0.496,0,0.064,516,0.322,426700
brattleboro,42.854809,-72.559871,1,42.7,0.5660000000000001,0.9440000000000001,0.018000000000000002,0,0,0,0,0,0,0,0.011000000000000001,0.5,0,0,0,0,0.5,430,53607,0.171,0.285,0.061,0.419,0.086,0.214,451,0.605,260000
bridge2rocks,39.747558000000005,-74.970462,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capeann,42.656814000000004,-70.608765,1,58.8,0.63,0.98,0,0.013000000000000001,0,0,0,0,0,0,0.009000000000000001,0,0,0,0,1,0,536,77583,0.485,0.434,0.12300000000000001,0.491,0,0.071,705,0.35600000000000004,631300
care,45.141284000000006,-89.13930400000001,1,52.7,0.563,0.992,0.004,0.004,0,0,0,0,0,0,0.005,1,0,0,0,0,0,406,31705,0.19899999999999998,0.17300000000000001,0.085,0.369,0,0.126,474,0.552,85000
engaging,38.553203,-90.488896,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cris,42.926333,-75.839913,1,48.4,0.504,0.9520000000000001,0.039,0.006999999999999999,0.003,0,0,0,0,0,0.016,0.56,0,0,0,0,0.44,717,42250,0.195,0.281,0.067,0.457,0.129,0.09,831,0.462,167600
