cat_id,cat_parent,category,count_requests,timebank,timestamp
8,is_parent,"Arts, Crafts & Music",1,addington,2019-01-21 15:45:29
6,8,Crafts,1,addington,2019-01-21 15:45:29
64,8,Lessons,1,addington,2019-01-21 15:45:29
10,is_parent,Business Services,1,addington,2019-01-21 15:45:29
75,10,Clerical,1,addington,2019-01-21 15:45:29
81,10,Miscellaneous,1,addington,2019-01-21 15:45:29
4,is_parent,Community Activities,2,addington,2019-01-21 15:45:29
34,4,Community Service,1,addington,2019-01-21 15:45:29
39,4,Miscellaneous,1,addington,2019-01-21 15:45:29
38,4,Work For Social Change,1,addington,2019-01-21 15:45:29
3,is_parent,Companionship,0,addington,2019-01-21 15:45:29
7,is_parent,Education,1,addington,2019-01-21 15:45:29
59,7,Tutoring / Mentoring,1,addington,2019-01-21 15:45:29
8,is_parent,"Arts, Crafts & Music",0,aha,2019-01-21 15:45:29
10,is_parent,Business Services,0,aha,2019-01-21 15:45:29
4,is_parent,Community Activities,0,aha,2019-01-21 15:45:29
7,is_parent,Education,0,aha,2019-01-21 15:45:29
157,is_parent,Gardens,0,aha,2019-01-21 15:45:29
8,is_parent,"Arts, Crafts & Music",0,alticultura,2019-01-21 15:45:29
10,is_parent,Business Services,0,alticultura,2019-01-21 15:45:29
4,is_parent,Community Activities,0,alticultura,2019-01-21 15:45:29
3,is_parent,Companionship,0,alticultura,2019-01-21 15:45:29
7,is_parent,Education,0,alticultura,2019-01-21 15:45:29
8,is_parent,"Arts, Crafts & Music",0,andersoncommunity,2019-01-21 15:45:29
10,is_parent,Business Services,0,andersoncommunity,2019-01-21 15:45:29
4,is_parent,Community Activities,0,andersoncommunity,2019-01-21 15:45:29
3,is_parent,Companionship,0,andersoncommunity,2019-01-21 15:45:29
7,is_parent,Education,0,andersoncommunity,2019-01-21 15:45:29
8,is_parent,"Arts, Crafts & Music",0,ate,2019-01-21 15:45:29
10,is_parent,Business Services,0,ate,2019-01-21 15:45:29
4,is_parent,Community Activities,0,ate,2019-01-21 15:45:29
3,is_parent,Companionship,0,ate,2019-01-21 15:45:29
7,is_parent,Education,0,ate,2019-01-21 15:45:29
8,is_parent,"Arts, Crafts & Music",2,atx,2019-01-21 15:45:29
64,8,Lessons,1,atx,2019-01-21 15:45:29
