cat_id,cat_parent,category,count_talent,timebank,timestamp
8,is_parent,"Arts, Crafts & Music",46,addington,2019-01-21 16:30:31
61,8,Classes,8,addington,2019-01-21 16:30:31
62,8,Crafts,19,addington,2019-01-21 16:30:31
63,8,Entertainment,5,addington,2019-01-21 16:30:31
64,8,Lessons,4,addington,2019-01-21 16:30:31
67,8,Miscellaneous,2,addington,2019-01-21 16:30:31
65,8,Photo & Video,7,addington,2019-01-21 16:30:31
66,8,Theater,1,addington,2019-01-21 16:30:31
10,is_parent,Business Services,79,addington,2019-01-21 16:30:31
75,10,Clerical,14,addington,2019-01-21 16:30:31
76,10,Computer Support,18,addington,2019-01-21 16:30:31
77,10,Financial,4,addington,2019-01-21 16:30:31
79,10,Marketing,7,addington,2019-01-21 16:30:31
81,10,Miscellaneous,9,addington,2019-01-21 16:30:31
174,10,Proof Reading,17,addington,2019-01-21 16:30:31
80,10,Research,10,addington,2019-01-21 16:30:31
4,is_parent,Community Activities,150,addington,2019-01-21 16:30:31
33,4,Clean-up / Recycling,19,addington,2019-01-21 16:30:31
34,4,Community Service,22,addington,2019-01-21 16:30:31
175,4,Events,11,addington,2019-01-21 16:30:31
35,4,Fund-raising,13,addington,2019-01-21 16:30:31
86,4,Group Projects,15,addington,2019-01-21 16:30:31
36,4,Help Our TimeBank!,19,addington,2019-01-21 16:30:31
39,4,Miscellaneous,10,addington,2019-01-21 16:30:31
37,4,Special Projects,18,addington,2019-01-21 16:30:31
38,4,Work For Social Change,23,addington,2019-01-21 16:30:31
3,is_parent,Companionship,72,addington,2019-01-21 16:30:31
26,3,Clubs,5,addington,2019-01-21 16:30:31
27,3,Dining Out,6,addington,2019-01-21 16:30:31
28,3,Email / IM,14,addington,2019-01-21 16:30:31
29,3,Home Visits,16,addington,2019-01-21 16:30:31
30,3,Medical Errands,6,addington,2019-01-21 16:30:31
32,3,Miscellaneous,10,addington,2019-01-21 16:30:31
31,3,Telephone Calls,15,addington,2019-01-21 16:30:31
7,is_parent,Education,85,addington,2019-01-21 16:30:31
54,7,Advocacy,5,addington,2019-01-21 16:30:31
55,7,Classes / Workshops,15,addington,2019-01-21 16:30:31
