exchanges,hours,last_exchange,members,offers,requests,url
1132,5997,1 hour 25 min ago,178,37,28,http://addington.timebanks.org
439,1375,2 years 41 weeks ago,207,0,0,http://aha.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://alticultura.timebanks.org
2,3,3 years 12 weeks ago,8,0,0,http://andersoncommunity.timebanks.org
1,5,1 year 30 weeks ago,8,4,4,http://ate.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://avl.timebanks.org
2179,4889,5 weeks 2 days ago,58,91,80,http://atx.timebanks.org
7,14,1 year 47 weeks ago,11,0,0,http://labodunautilus.timebanks.org
74,384,4 weeks 6 days ago,37,2,2,http://blackhills.timebanks.org
199,1140,18 hours 59 min ago,176,59,50,http://ujimaboston.timebanks.org
17391,52351,3 hours 23 min ago,170,162,197,http://brattleboro.timebanks.org
1042,6059,1 day 13 hours ago,172,24,32,http://bridge2rocks.timebanks.org
10980,26270,4 hours 3 min ago,124,104,115,http://capeann.timebanks.org
396,913,2 days 3 hours ago,49,11,4,http://care.timebanks.org
5,6,1 year 6 weeks ago,2,0,0,http://engaging.timebanks.org
834,2044,5 hours 52 min ago,107,31,33,http://cris.timebanks.org
none (start up),none (start up),none (start up),4,0,0,http://centraliowa.timebanks.org
56,102,5 weeks 5 days ago,71,14,14,http://lincolnskillshare.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://nzcentralpermaculture.timebanks.org
none (start up),none (start up),none (start up),5,0,0,http://changexchange.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://circlenomic.timebanks.org
none (start up),none (start up),none (start up),8,4,4,http://citypark.timebanks.org
6306,14393,2 days 56 min ago,284,114,108,http://columbia.timebanks.org
6,18,2 weeks 3 days ago,22,6,7,http://slocanvalley.timebanks.org
625,7712,3 years 38 weeks ago,453,10,9,http://manasota.timebanks.org
30191,209344,4 days 2 hours ago,225,6881,6857,http://tdn.timebanks.org
379,970,4 days 3 hours ago,18,80,76,http://cse.timebanks.org
1439,4889,2 days 1 hour ago,58,41,45,http://communityskillexchange.timebanks.org
67,111,3 days 2 hours ago,91,76,14,http://richmondcounty.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://northfrontenac.timebanks.org
5,22,3 years 20 weeks ago,11,0,0,http://katytx.timebanks.org
22488,68899,1 hour 6 min ago,431,245,290,http://crookedriver.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://danvilledollars.timebanks.org
361,1080,6 weeks 6 days ago,219,42,38,http://dc.timebanks.org
405,1285,1 year 7 weeks ago,127,0,0,http://dhe.timebanks.org
43,94,1 year 25 weeks ago,42,8,6,http://democw3.timebanks.org
4,5,1 year 24 weeks ago,52,1,1,http://denton.timebanks.org
644,5341,2 days 21 hours ago,100,33,34,http://dunedin.timebanks.org
none (start up),none (start up),none (start up),8,0,0,http://durham.timebanks.org
none (start up),none (start up),none (start up),4,0,0,http://eann.timebanks.org
227,811,4 days 18 hours ago,94,11,14,http://earn.timebanks.org
5646,19627,3 hours 17 min ago,192,33,31,http://eastbay.timebanks.org
10,119,2 years 28 weeks ago,6,0,0,http://fablabchch.timebanks.org
1,1,28 weeks 54 min ago,5,0,1,http://fairbanks.timebanks.org
3,12,31 weeks 5 days ago,33,1,1,http://farnorth.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://farmster.timebanks.org
1,1,2 years 18 weeks ago,6,0,0,http://flourish.timebanks.org
721,1599,2 weeks 1 day ago,91,46,49,http://frederick.timebanks.org
1,1,1 year 36 weeks ago,15,0,0,http://ghoodcalgary.timebanks.org
none (start up),none (start up),none (start up),1,0,0,http://karma.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://globetable.timebanks.org
21,51,1 week 4 hours ago,24,11,5,http://goodneighborstb.timebanks.org
4,13,3 years 5 weeks ago,14,9,9,http://scgm.timebanks.org
518,1177,2 hours 6 min ago,51,34,36,http://greatbay.timebanks.org
10,25,3 years 5 weeks ago,8,0,0,http://gct.timebanks.org
59,99,46 weeks 2 hours ago,50,12,12,http://greaterheights.timebanks.org
326,1282,32 weeks 3 days ago,202,102,103,http://gwtb.timebanks.org
23,111,11 weeks 4 days ago,9,10,10,http://choptank.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://healthyoutcomeswin.timebanks.org
38,47,2 years 4 weeks ago,31,0,0,http://bc-historyofmoney.timebanks.org
none (start up),none (start up),none (start up),1,0,0,http://hopexchange.timebanks.org
49,106,1 year 36 weeks ago,42,3,3,http://hour4ourworld.timebanks.org
25,60,21 weeks 4 days ago,38,19,19,http://hourcommunityinterfaith.timebanks.org
116,117,6 hours 58 min ago,50,9,9,http://isiinc.timebanks.org
16,49,20 weeks 4 hours ago,66,8,8,http://jeffersoncommunity.timebanks.org
117,189,1 year 3 weeks ago,37,3,3,http://jerseyshore.timebanks.org
2180,11097,1 day 2 hours ago,119,77,85,http://kaitaia.timebanks.org
none (start up),none (start up),none (start up),3,0,0,http://kapiti50.timebanks.org
none (start up),none (start up),none (start up),1,0,0,http://klc.timebanks.org
