address,country,exchanges,focus,hours,last_exchange,members,name,notes,offers,phone,postal,requests,slug,sponsor,url,url_2
"7 Dickens St, Addington",New Zealand,1127,,5973,1 day 6 hours ago,178,Addington TimeBank,"This TimeBank became live on 1 February 2012.  We have been working on its development since October 2011.  The TimeBank has members who are individuals, families who share an email address, and local groups or organisations.  The development has been made possible because of the work of various  agencies and community groups within Addington.  We welcome members from anywhere but expect that most of our members will be from the Southern and Western suburbs of Christchurch - with a particular focus on Addington, of course.  We are particularly keen to involve members of our community in our development over the next two months as we register our members on this site and get used to trading.  Then for the celebration - we are launching our TimeBank with a working bee and fun day at St Mary's in Church Square Addington on 24 March 2012. ",34,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">64 3 3381613</span>
</div>","Christchurch, Canterbury 8024",26,timebanks/addington-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Addington Community House (Inc)</span>
</div>",http://addington.timebanks.org,
"331 Sterling Highway, PO BOX 3493 (mailing address)",United States,439,,1375,2 years 40 weeks ago,207,AHA Time Bank (Alaskans Helping Alaskans),,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">907-299-2060</span>
</div>","Homer, Alaska 99603",0,timebanks/aha-time-bank-alaskans-helping-alaskans,,http://aha.timebanks.org,
"Entrada al Refugio Tierra Colorada Baja , PO Box 337",Guatemala,none (start up),,none (start up),none (start up),2,Alticultura,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">1150230873516</span>
</div>","Quetzaltenango, Quetzaltenango 9001",0,timebanks/alticultura,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Alticultura</span>
</div>",http://alticultura.timebanks.org,
2889 E. Center St,United States,2,,3,3 years 11 weeks ago,8,Anderson Community Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">530-365-6183</span>
</div>","Anderson, California 96007",0,timebanks/anderson-community-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Shasta Thrive</span>
</div>",http://andersoncommunity.timebanks.org,
298 School Circle,United States,1,,5,1 year 29 weeks ago,8,Appalachian Time Exchange,,4,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">(706) 530-0114</span>
</div>","Blairsville, Georgia 30512",4,timebanks/appalachian-time-exchange,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Unity of Blairsville</span>
</div>",http://ate.timebanks.org,
39 S Market St B,United States,none (start up),,none (start up),none (start up),2,Asheville TimeBank,ot listed,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">828 484 6369</span>
</div>","Asheville, North Carolina 28801",0,timebanks/asheville-timebank,,http://avl.timebanks.org,
123 Uptown,United States,2179,,4889,3 weeks 6 days ago,58,Athens Time Exchange,,89,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">5555555555</span>
</div>","ATHENS, Ohio 45701",79,node/797,,http://atx.timebanks.org,
Quiniac,France,7,,14,1 year 45 weeks ago,11,Banque de Pièces d'Heures du Labo,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">33290991598</span>
</div>","Saint-Nolff,  56250",0,timebanks/le-labo-du-nautilus,,http://labodunautilus.timebanks.org,
642 Happy Hollow,United States,74,,384,3 weeks 3 days ago,37,Black Hills Time Banking,,3,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">605-440-2710</span>
</div>","Hot Springs, South Dakota 57747",2,timebanks/black-hills-time-banking,,http://blackhills.timebanks.org,
"30 Germania St. , Bldg. L",United States,193,,1110,1 day 10 hours ago,170,Boston Ujima Time Bank,,59,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">787-315-1616</span>
</div>","Jamaica Plain, Massachusetts 02130",48,timebanks/jamaica-plain-time-exchange,,http://ujimaboston.timebanks.org,
15 Grove Street,United States,17346,,52055,10 hours 27 min ago,170,Brattleboro Time Trade,,158,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">802-246-1199</span>
</div>","BRATTLEBORO, Vermont 05301",194,timebanks/brattleboro-time-trade,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Post Oil Solutions</span>
</div>",http://brattleboro.timebanks.org,
10 Highview Lane,New Zealand,1036,,6040,1 day 6 hours ago,172,Bridge2Rocks TimeBank,,23,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">+64 3 3267087</span>
</div>","Christchurch,  8081",29,timebanks/bridge2rocks-timebank-christchurch,,http://bridge2rocks.timebanks.org,
12 Caleb's Lane,United States,10962,,26235,6 hours 26 min ago,124,Cape Ann TimeBank,,105,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">978-219-6776</span>
</div>","Rockport, Massachusetts 01966",120,timebanks/cape-ann-timebank,,http://capeann.timebanks.org,
