address,country,exchanges,focus,hours,last_exchange,members,name,notes,offers,phone,postal,requests,slug,sponsor,url,url_2,mission
"7 Dickens St, Addington",New Zealand,1132,,5997,50 min 35 sec ago,178,Addington TimeBank,"This TimeBank became live on 1 February 2012.  We have been working on its development since October 2011.  The TimeBank has members who are individuals, families who share an email address, and local groups or organisations.  The development has been made possible because of the work of various  agencies and community groups within Addington.  We welcome members from anywhere but expect that most of our members will be from the Southern and Western suburbs of Christchurch - with a particular focus on Addington, of course.  We are particularly keen to involve members of our community in our development over the next two months as we register our members on this site and get used to trading.  Then for the celebration - we are launching our TimeBank with a working bee and fun day at St Mary's in Church Square Addington on 24 March 2012. ",37,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">64 3 3381613</span>
</div>","Christchurch, Canterbury 8024",28,timebanks/addington-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Addington Community House (Inc)</span>
</div>",http://addington.timebanks.org,,"Addington TimeBank: Serving Southern Christchurch and Beyond   MOTTO Swapping Skills, Connecting Communities   MISSION To foster relationship building, increasing connectedness among people, regenerating community and meeting real needs of our community members by shifting thinking beyond money ­based trading. VALUES Addington TimeBank values individual skills; fostering sharing and support; learning both give and take; building trust and responsibility; building local sustainability and resilience.    ""The mission of TimeBanks in general is to nurture and expand a movement that promotes equality and builds caring community economies through inclusive exchange of time and talent. TimeBanks aim to achieve wide ­ranging goals such as social justice, bridges between diverse communities, and local ecological sustainability.                        ● Assets:  We are all assets. We all have something to give. ● Redefining Work ­ Some work is beyond price.  Work has to be redefined to value whatever it takes to raise healthy children, build strong families, revitalize neighborhoods, make democracy work, advance social justice, make the planet sustainable. That kind of work needs to be honored, recorded and rewarded. ● Reciprocity:  ­ Helping works better as a two ­way street.  The question: “How can I help you?” needs to change so we ask: “How can we help each other build the world we both will live in?” ● Social Networks: ­ We need each other.  Networks are stronger than individuals. People helping each other reweave communities of support, strength & trust. Community is built upon sinking roots, building trust, creating networks. Special relationships are built on commitment. ● Respect ­ Every human being:  Respect underlies freedom of speech, freedom of religion, and everything we value. Respect supplies the heart and soul of democracy. When respect is denied to anyone, we all are injured. We must respect where people are in the moment, not where we hope they will be at some future point."" Taken from <http://timebanks.org/about>   VISION Addington Timebank weaves networks among groups and individuals within our community.    Safety"
"331 Sterling Highway, PO BOX 3493 (mailing address)",United States,439,,1375,2 years 41 weeks ago,207,AHA Time Bank (Alaskans Helping Alaskans),,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">907-299-2060</span>
</div>","Homer, Alaska 99603",0,timebanks/aha-time-bank-alaskans-helping-alaskans,,http://aha.timebanks.org,,Our mission is to strengthen our community   by matching unmet needs with untapped resources.  We help people help each other.
"Entrada al Refugio Tierra Colorada Baja , PO Box 337",Guatemala,none (start up),,none (start up),none (start up),2,Alticultura,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">1150230873516</span>
</div>","Quetzaltenango, Quetzaltenango 9001",0,timebanks/alticultura,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Alticultura</span>
</div>",http://alticultura.timebanks.org,,Build adaptive capacity for integrated sustainable human development and climate change adaptation.
2889 E. Center St,United States,2,,3,3 years 12 weeks ago,8,Anderson Community Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">530-365-6183</span>
</div>","Anderson, California 96007",0,timebanks/anderson-community-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Shasta Thrive</span>
</div>",http://andersoncommunity.timebanks.org,,"Neighbors helping neighbors by utilizing their gifts, skills and talents to provide services to meet the needs of the community."
298 School Circle,United States,1,,5,1 year 30 weeks ago,8,Appalachian Time Exchange,,4,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">(706) 530-0114</span>
</div>","Blairsville, Georgia 30512",4,timebanks/appalachian-time-exchange,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Unity of Blairsville</span>
</div>",http://ate.timebanks.org,,To empower our community in sharing its gifts with one another.
39 S Market St B,United States,none (start up),,none (start up),none (start up),2,Asheville TimeBank,ot listed,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">828 484 6369</span>
</div>","Asheville, North Carolina 28801",0,timebanks/asheville-timebank,,http://avl.timebanks.org,,To improve interaction and sharing within the community
123 Uptown,United States,2179,,4889,5 weeks 2 days ago,58,Athens Time Exchange,,91,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">5555555555</span>
</div>","ATHENS, Ohio 45701",80,node/797,,http://atx.timebanks.org,,The Athens Time Exchange (ATX) exists to promote access to resources and recognize the inherent value that everyone has to offer. This occurs when ATX members trade services at no monetary cost within the member network. We strengthen our community bonds as we value each other's time and recognize all time as equal.
Quiniac,France,7,,14,1 year 47 weeks ago,11,Banque de Pièces d'Heures du Labo,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">33290991598</span>
</div>","Saint-Nolff,  56250",0,timebanks/le-labo-du-nautilus,,http://labodunautilus.timebanks.org,,"Raccourcir les liens d'échanges pour recentrer la société sur le côté humain, gagner en économie et ralentir l'ébriété consumériste afin de réduire notre empreinte environnementale."
642 Happy Hollow,United States,74,,384,4 weeks 6 days ago,37,Black Hills Time Banking,,2,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">605-440-2710</span>
</div>","Hot Springs, South Dakota 57747",2,timebanks/black-hills-time-banking,,http://blackhills.timebanks.org,,"To provide community members in the Black Hills with a well coordinated service exchange project that values the time and talent of individuals, their families and the larger community through the utilization of time dollars."
"30 Germania St. , Bldg. L",United States,199,,1140,18 hours 23 min ago,176,Boston Ujima Time Bank,,59,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">787-315-1616</span>
</div>","Jamaica Plain, Massachusetts 02130",50,timebanks/jamaica-plain-time-exchange,,http://ujimaboston.timebanks.org,,Meet neighbors. Save money. Share skills.
